JOURNAL OF LAW ECONOMICS & ORGANIZATION,Own-Oxford,No,,Yes,Yes,Own website (JLEO website),,Oxford University Press,"It is the policy of The Journal of Law, Economics, & Organization to publish papers only if the data used in the analysis are clearly and precisely documented and are available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to The Journal of Law, Economics, & Organization, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. These will be posted on the JLEO website.

For empirical and simulation papers, the minimum requirement should include the dataset(s) and programs used to run the final models, plus a description of how previous intermediate datasets and programs were employed to create the final dataset(s). Authors are invited to submit these intermediate data files and programs as an option; if they are not provided, authors must fully cooperate with investigators seeking to conduct a replication who request them. The data files and programs can be provided in any format using any statistical package or software. Authors must provide a ""ReadMe ""PDF file listing all included files and documenting the purpose and format of each file provided, as well as instructing a user on how replication can be conducted.",https://academic.oup.com/jleo/pages/Submission_Online,
LABOUR ECONOMICS,Elsevier,No,Encouraged,Yes,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/labour-economics/0927-5371/guide-for-authors,
JOURNAL OF POPULATION ECONOMICS,Type 3 research data policy (social sciences) (Springer),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,"The journal requires authors to include a data availability statement as part of their article. If no data was generated or analysed, a statement to that effect should be included.
The journal does not require that research data are shared in a repository, although authors are recommended to do so if possible.

In particular, the journal does not require public sharing of quantitative or qualitative data that could identify a research participant unless participants have consented to data release. ",https://www.springer.com/journal/148/submission-guidelines,https://www.springer.com/journal/148/submission-guidelines
QME-QUANTITATIVE MARKETING AND ECONOMICS,Type 1 research data policy (Springer),No,No,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,"This journal operates a type 1 research data policy. The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository.",https://www.springer.com/journal/11129/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,
ECONOMIC INQUIRY,DCAS,No*,Yes,Yes,Yes,OpenICPSR. Alternatives subject to editor’s approval,,Wiley Online Library,"No mention of “DCAS” on their website, but their name is on the DCAS website and their described policy is similar to DCAS.

They seem to have no data editor, but they state that “A member of the editorial board will review the data archive to ensure that it meets the journal requirements.”",https://weai.org/view/EI-Journal-Policies,
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,Elsevier,No,Encouraged,Yes,,Own archive (Journal of Economic Dynamics and Control data archive),,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-economic-dynamics-and-control/0165-1889/guide-for-authors,
EDUCATION FINANCE AND POLICY,No*,No,No,No,No,,,MIT Press Direct,"Manuscripts should provide enough descriptive information about data sets and any sample restrictions so that other researchers could replicate findings. Editors expect authors to retain their data and programs for at least five years after article publication, and to share those data and programs with other researchers wishing to replicate or extend the findings.",https://direct.mit.edu/edfp/pages/submission-guidelines,
CANADIAN JOURNAL OF ECONOMICS,DCAS,Marie Connolly,Yes,Yes,Yes,"Dataverse on Borealis, the Canadian Dataverse Repository",,Wiley Online Library,,https://www.economics.ca/cpages/cje-authors,
EXPLORATIONS IN ECONOMIC HISTORY,Own-Mandatory Replication Policy,No,Encouraged,Yes,Yes,"Open-ICPSR*, or as an alternative: Mendeley",,Elsevier,"Explorations in Economic History requires authors of all published papers to deposit the data, programs, and other details of the computations sufficient to permit replication prior to publication.",https://www.elsevier.com/journals/explorations-in-economic-history/0014-4983/guide-for-authors,
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,No,No,No,No,No,,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/14680084/homepage/forauthors.html,
JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,No*,No,Yes,No,No,Not required/ Harvard Dataverse or similar,,Wiley Online Library,"JEMS encourages authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their paper.","http://editjems.org/manuscripts/
https://onlinelibrary.wiley.com/page/journal/15309134/homepage/forauthors.html",
JOURNAL OF ECONOMIC SURVEYS,No*,No,Yes,No,No,,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/14676419/homepage/forauthors.html,
JOURNAL OF MATHEMATICAL ECONOMICS,Elsevier,No,No,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/journal-of-mathematical-economics/0304-4068/guide-for-authors,
AMERICAN LAW AND ECONOMICS REVIEW,Own-Oxford,No,,Yes,Yes,Own website (ALER website),,Oxford University Press,"Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to ALER , prior to publication, the data, programs, and other details of the computations sufficient to permit replication. All data and do files must be made available at acceptance to ALER where they will be indexed on the ALER website for public access.",https://academic.oup.com/aler/pages/Conflict_Of_Interest_Statement,
INTERNATIONAL JOURNAL OF GAME THEORY,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/182/submission-guidelines,
ECONOMICS OF EDUCATION REVIEW,Elsevier,No,Encouraged,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/economics-of-education-review/0272-7757/guide-for-authors,
NATIONAL TAX JOURNAL,Own-,No,,Yes,Yes,Harvard Dataverse (NTJ),,University of Chicago Press,"NTJ has implemented a policy to publish empirical papers only if the data and analysis are sufficiently documented to allow for replication. With few exceptions, as noted below, authors of papers accepted for publication will be required to post the following on the NTJ website hosted by DATAVERSE:
Code and programs that can be used for replication, including any computer programs used to collect experimental data
Dataset(s) used to run the final models, and
""Readme"" files detailing how data and programs are combined to generate the final analysis. Such files should include a description of how intermediate data files were used to create the final dataset. ",https://www.journals.uchicago.edu/journals/ntj/instruct,
SOCIAL CHOICE AND WELFARE,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/355/submission-guidelines,
REGIONAL SCIENCE AND URBAN ECONOMICS,Elsevier,No,Encouraged,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/regional-science-and-urban-economics/0166-0462/guide-for-authors,
THEORY AND DECISION,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/11238/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
JOURNAL OF HUMAN CAPITAL,No,No,No,No,No,No,,University of Chicago Press,,https://www.journals.uchicago.edu/journals/jhc/instruct,
MACROECONOMIC DYNAMICS,No,No,No,No,No,No,,Cambridge,,https://www.cambridge.org/core/journals/macroeconomic-dynamics/information/author-instructions/preparing-your-materials,
REVIEW OF ECONOMIC DESIGN,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/10058/submission-guidelines,
GENEVA RISK AND INSURANCE REVIEW,No,No,No,No,No,No,,Palgrave Macmillan,,https://www.palgrave.com/gp/journal/10713/authors/aims-scope,
JOURNAL OF DEMOGRAPHIC ECONOMICS,Own-,No,Yes,Yes,Yes,Public repositories,,Cambridge,"On acceptance of their paper, authors must submit a complete set of any data used in the paper. Computer code necessary to run a commercial program or the source code of a non-commercial program must also be submitted. The results of the paper must be capable of replication given access to any commercial program used to obtain the results. The data, computer programs, and code will be maintained in the data archive which is linked to the journal’s homepage.","https://www.cambridge.org/core/journals/journal-of-demographic-economics/information/author-instructions/preparing-your-materials
https://www.cambridge.org/core/journals/journal-of-demographic-economics/information/journal-policies/research-transparency",
INTERNATIONAL TAX AND PUBLIC FINANCE,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/10797/submission-guidelines,
OXFORD ECONOMIC PAPERS-NEW SERIES,Own-Data access policy:,No,,Yes,Yes,Public repositories or OUP,,Oxford University Press,"To facilitate the verification and replication of results, authors of accepted papers are expected (on acceptance but prior to publication of the paper) to submit data sets, programs, a full list of data sources, and information on empirical analysis, experiments and simulations that are needed for replication. If the data are not readily available publicly, then this often means that the authors will make them available as an online appendix to the paper, on the OEP webpage.",https://academic.oup.com/oep/pages/General_Instructions,
JOURNAL OF ECONOMIC INEQUALITY,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/10888/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
REVIEW OF INCOME AND WEALTH,Yes,No,NA*,Yes,Yes*,?*,,Wiley Online Library,"They talk of a repository maintained by IARIW, but do not specify the link or service",https://onlinelibrary.wiley.com/page/journal/14754991/homepage/forauthors.html,"In the subsection titled “Data Sharing and Data Availability” has written “encourages” data sharing, which according to Wiley’s language means both submitting a data availability statement and sharing data is optional but encouraged:
https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/data-sharing-citation/data-sharing-policy.html
However in the subsection titled “Submission of Data and Computer Code” it says both are required"
AMERICAN JOURNAL OF HEALTH ECONOMICS,No,No,No,No,No,,,University of Chicago Press,,"https://www.journals.uchicago.edu/journals/ajhe/instruct
https://www.ashecon.org/american-journal-of-health-economics/ajhe-author-guidelines/",
JOURNAL OF ECONOMIC PSYCHOLOGY,Elsevier,No,Yes,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/journal-of-economic-psychology/0167-4870/guide-for-authors,
ECONOMIC HISTORY REVIEW,Own-,No,No,Yes,Yes,"openICPSR repository, the Dataverse Project, or an
institutional repository",,Wiley Online Library,"The Economic History Review requires all authors to make clear the sources and evidence they use
in order to allow their arguments and results to be evaluated by other researchers.
Where articles employ quantitative data, approaches and techniques that can only be securely
validated through replication, the editors will not publish papers until a replication package
containing the data, any relevant programs and code, and complete and transparent documentation
is made available to any researcher for the purpose of replication. Similarly, where data series are
the main finding of articles, the editors expect authors to make the series available to other scholars
by depositing the series in a digital format at an appropriate repository.
Deposited data should include all data, program code, command files, and related documentation
that is needed to replicate your paper’s findings. All code and command files must be annotated to
make replication simple, with all necessary information about variables etc stated clearly.",https://files.ehs.org.uk/wp-content/uploads/2023/03/24103856/EcHR-notes_2023-v3.pdf,
JOURNAL OF REGIONAL SCIENCE,Own-,No,Yes,No,No,,,Wiley Online Library,"This journal “expects” data sharing (for meaning of the terms refer to:
https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/data-sharing-citation/data-sharing-policy.html)",https://onlinelibrary.wiley.com/page/journal/14679787/homepage/forauthors.html,
ECONOMICS LETTERS,Elsevier,No,Yes,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/economics-letters/0165-1765/guide-for-authors,
HEALTH ECONOMICS,Own-Wiley,No,Yes,Yes*,,Public repositories,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/10991050/homepage/forauthors.html,
JOURNAL OF PUBLIC ECONOMIC THEORY,Own-Wiley,No,Yes,Encouraged,,Public repositories,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/14679779/homepage/forauthors.html,
EUROPEAN REVIEW OF ECONOMIC HISTORY,Own-,No,Yes,Yes,,"OpenICPSR*, Harvard IQSS, UK Data Archive, Swedish National Data Service and GitHub\",,,,https://academic.oup.com/ereh/pages/general_instructions,
MATHEMATICAL SOCIAL SCIENCES,Elsevier,No,Encouraged,Yes,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/mathematical-social-sciences/0165-4896/guide-for-authors,
PUBLIC CHOICE,Type 2 research data policy  (social sciences),No,Encouraged,Encouraged,,Public repositories,,Springer,,https://www.springer.com/journal/11127/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
ECONOMICS AND PHILOSOPHY,No,No,Encouraged,Encouraged,Encouraged,Public repositories,,Cambridge,,https://www.cambridge.org/core/journals/economics-and-philosophy/information/journal-policies/research-transparency,
JOURNAL OF COMPARATIVE ECONOMICS,No,No,,,,,,Elsevier,,https://www.elsevier.com/journals/journal-of-comparative-economics/0147-5967/guide-for-authors,
SOUTHERN ECONOMIC JOURNAL,own-,No,,Yes,Encouraged,Personal website?,,Wiley Online Library,"It is the policy of The Southern Economic Journal to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must make available on their web site, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. The Editor should be notified at the time of submission if the data used in a paper are proprietary or if, for some other reason, the requirements above cannot be met.

Our policies differ somewhat for econometric and simulation papers, and for experimental papers.

For econometric and simulation papers, the minimum requirement is to make available the data set(s) and programs used to run the final models. Authors are also invited to fully cooperate with investigators seeking to conduct a replication.

For experimental papers, we have a more detailed policy, including requirements for submitted papers as well as accepted papers. ",https://onlinelibrary.wiley.com/page/journal/23258012/homepage/data_policy.htm,
REVIEW OF WORLD ECONOMICS,Type 1 research data policy (Springer),No,Encouraged,Encouraged,,,,Springer,,https://www.springer.com/journal/10290/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy,
B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,No,No,,,,,,De Gruyter,,https://web.archive.org/web/20220320214651if_/https://www.degruyter.com/publication/journal_key/BEJEAP/downloadAsset/BEJEAP_Instructions%20for%20Authors.pdf,
REVIEW OF NETWORK ECONOMICS,No,No,,,,,,De Gruyter,,https://www.rnejournal.com/published.html,
ECONOMICS & POLITICS,No,No,Encouraged,Encouraged,,Public repositories,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/14680343/homepage/forauthors.html,
FISCAL STUDIES,own-,No,Yes,Encouraged,,Public repositories,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/14755890/homepage/forauthors.html,
,,,,,,,,,,,
,,,,,,,,,,,
Top 5 (#),5,3,4,5,5,,,,,,
Top 25 (#),23,11,14,21,19,,,,,,
Top 50 (#),42,13,21,34,30,,,,,,
Top 75 (#),61,14,31,48,37,,,,,,
Top 100 (#),79,14,42,58,41,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Top 5 (#) - Revised,5,3,4,5,5,5,,,,,
Top 25 (#) - Revised,22,10,14,21,19,13,,,,,
Top 50 (#) - Revised,38,12,21,34,30,21,,,,,
Top 75 (#) - Revised,56,13,31,48,37,,,,,,
Top 100 (#) - Revised,72,13,42,58,41,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Top 5 (%),100,60,80,100,100,,,,,,
Top 25 (%),88,40,56,84,76,,,,,,
Top 50 (%),76,24,42,68,60,,,,,,
Top 75 (%),74.6666666666667,17.3,41.3,64.0,49.3,,,,,,
Top 100 (%),72,13,42,58,41,,,,,,
